Sezon,Ora,Temperatura,Umbra,Radiatia Solara,Kw
Primavara,16,25,38,7,742
Toamna,11,10,27,7,399
Vara,12,32,56,4,3138
Primavara,11,19,62,2,1192
Vara,12,31,80,6,4668
Primavara,10,30,94,9,1092
Vara,15,32,1,9,2120
Iarna,16,-4,66,5,404
Primavara,16,28,62,6,1087
Primavara,8,27,33,3,780
Toamna,12,16,23,4,498
Vara,10,32,85,2,4473
Toamna,14,19,36,10,191
Vara,14,29,51,6,3678
Primavara,9,18,76,4,2047
Toamna,8,15,42,8,101
Iarna,16,-14,35,3,221
Iarna,14,1,7,7,72
Toamna,12,18,49,3,200
Primavara,12,30,93,7,1016
Iarna,10,-12,96,8,257
Iarna,14,-13,91,9,347
Iarna,13,-20,72,6,453
Primavara,13,22,34,3,739
Primavara,9,30,26,6,806
Iarna,13,0,89,8,340
Toamna,15,23,95,8,806
Primavara,9,23,95,10,1893
Iarna,12,-9,65,5,345
Primavara,16,27,43,5,607
Iarna,13,-4,70,7,272
Vara,10,33,83,4,4007
Vara,13,31,38,3,1151
Iarna,14,1,83,6,348
Iarna,11,3,44,4,130
Iarna,10,-12,89,10,399
Primavara,12,22,33,3,678
Primavara,11,18,5,10,645
Iarna,13,-18,41,5,109
Vara,14,39,45,8,2435
Iarna,16,-12,82,7,296
Vara,16,25,90,2,4638
Toamna,9,11,87,4,869
Toamna,10,19,64,4,600
Primavara,14,24,98,10,1425
Toamna,11,22,19,7,423
Toamna,10,10,48,4,249
Toamna,11,12,13,2,355
Iarna,14,-12,83,6,357
Iarna,10,3,22,7,43
Vara,9,35,64,2,3126
Toamna,12,14,27,9,119
Vara,9,33,83,9,3582
Toamna,9,15,92,9,600
Iarna,13,-3,60,8,296
Iarna,14,-3,77,8,346
Toamna,15,22,22,4,117
Toamna,13,10,26,7,189
Vara,14,33,97,7,4529
Iarna,10,-5,59,9,283
Primavara,10,26,28,7,973
Iarna,13,-12,86,4,272
Iarna,11,-2,54,2,484
Toamna,9,18,76,9,639
Vara,10,39,71,9,2914
Toamna,13,18,10,9,411
Toamna,11,23,94,2,760
Primavara,13,16,43,2,633
Toamna,12,12,56,8,668
Vara,16,32,91,7,2828
Iarna,15,1,96,7,261
Toamna,13,14,2,6,118
Vara,15,40,36,8,1621
Vara,10,30,98,7,3528
Vara,16,40,7,4,2245
Primavara,12,18,18,3,541
Toamna,15,24,41,5,199
Iarna,15,-4,41,10,241
Primavara,16,26,72,6,2221
Primavara,10,27,84,8,1063
Vara,10,31,72,8,4947
Iarna,12,-11,10,3,30
Vara,10,34,67,8,2897
Vara,14,40,25,6,959
Iarna,16,-9,75,10,344
Vara,12,40,90,4,4935
Toamna,12,15,31,4,430
Iarna,13,-16,84,6,373
Vara,16,32,23,3,1730
Vara,12,37,27,10,645
Primavara,13,22,19,10,806
Iarna,13,5,79,4,479
Toamna,12,18,39,9,196
Vara,15,37,12,7,2183
Toamna,9,21,62,3,820
Primavara,11,24,52,5,1034
Primavara,8,19,33,6,908
Iarna,10,-18,13,8,6
Primavara,13,26,74,7,1142
Primavara,15,22,75,2,1131
Toamna,11,25,76,4,935
Vara,13,37,12,5,2018
Toamna,8,23,18,10,334
Primavara,13,21,83,2,2264
Iarna,11,-10,95,2,396
Iarna,9,-17,74,7,367
Primavara,15,15,40,6,566
Iarna,10,-14,32,3,237
Vara,11,26,57,10,4466
Iarna,10,1,45,2,135
Iarna,11,-7,71,7,342
Iarna,9,-16,91,8,255
Vara,9,38,47,5,634
Iarna,14,-10,78,8,377
Toamna,16,20,92,9,539
Iarna,16,-8,21,2,110
Vara,16,32,68,3,4379
Iarna,8,-19,17,7,117
Iarna,16,-16,69,3,416
Vara,9,29,74,2,4556
Primavara,12,16,53,9,1436
Primavara,13,19,38,2,910
Iarna,16,1,57,10,495
Iarna,16,3,71,2,488
Vara,14,38,31,4,651
Vara,11,27,17,6,1615
Primavara,10,26,18,2,783
Primavara,13,29,35,6,957
Vara,12,31,99,7,3271
Toamna,12,18,14,8,108
Primavara,16,16,83,9,1947
Vara,8,29,85,8,3670
Iarna,15,-12,83,10,302
Iarna,13,-8,12,8,93
Vara,8,38,63,7,4025
Vara,9,28,5,3,1115
Primavara,9,16,38,2,879
Primavara,8,21,100,3,1732
Primavara,11,17,76,2,1558
Iarna,13,-18,91,9,474
Toamna,13,16,7,2,494
Iarna,10,-13,46,7,53
Toamna,8,14,88,9,707
Vara,8,35,92,5,4583
Toamna,13,23,86,2,502
Toamna,11,13,49,6,243
Toamna,13,18,95,9,532
Iarna,10,-12,28,6,97
Vara,12,26,11,2,1477
Iarna,11,-20,38,4,81
Iarna,10,1,14,6,185
Vara,11,25,86,2,3919
Primavara,15,20,37,5,893
Toamna,13,12,14,7,294
Toamna,8,19,66,9,639
Toamna,10,17,10,10,295
Iarna,13,-20,6,2,13
Vara,10,25,57,8,3893
Primavara,15,30,65,6,2096
Iarna,9,-4,22,6,45
Toamna,8,13,14,8,122
Toamna,10,16,37,6,399
Vara,13,34,40,4,636
Primavara,11,21,66,7,1290
Iarna,15,-9,62,3,493
Iarna,8,5,26,5,244
Vara,10,32,94,3,4459
Primavara,9,29,44,9,946
Vara,11,32,77,3,2515
Iarna,8,-11,88,9,497
Vara,14,25,1,2,1184
Primavara,9,15,44,7,844
Vara,14,27,11,10,903
Vara,11,37,13,9,919
Iarna,16,-10,61,5,382
Toamna,13,21,23,3,187
Toamna,14,17,77,4,595
Toamna,15,11,23,10,136
Vara,16,36,79,5,2667
Iarna,15,-20,71,3,364
Toamna,12,10,96,3,727
Vara,14,25,77,6,4159
Toamna,13,19,92,4,615
Primavara,13,24,66,3,1067
Primavara,15,24,82,2,2354
Vara,10,35,87,6,4670
Vara,8,38,75,5,4176
Toamna,15,21,26,8,343
Toamna,13,10,80,4,669
Primavara,15,18,96,4,1788
Vara,11,30,30,5,1935
Vara,12,27,46,6,1727
Primavara,9,28,18,6,712
Primavara,14,29,6,10,501
Primavara,9,18,78,9,1985
Toamna,11,22,52,10,927
Toamna,14,25,59,9,729
Iarna,13,-1,12,10,88
Iarna,10,-17,32,3,150
Vara,13,40,71,5,2758
Toamna,16,23,52,7,870
Iarna,10,-2,61,2,456
Toamna,14,22,56,10,624
Toamna,15,19,12,8,307
Primavara,12,27,38,6,868
Vara,16,40,26,9,1461
Toamna,10,16,10,3,370
Iarna,10,-7,59,4,361
Vara,8,36,45,8,1156
Primavara,10,26,88,8,2488
Primavara,16,23,94,5,1707
Vara,13,39,17,9,588
Vara,11,31,11,8,1131
Iarna,12,4,15,7,45
Vara,12,38,27,2,2152
Vara,12,34,53,9,3357
Toamna,9,20,41,2,278
Toamna,10,10,10,6,479
Toamna,8,21,23,6,483
Vara,14,26,15,3,2429
Iarna,10,-15,48,7,90
Primavara,13,19,17,7,736
Toamna,13,12,88,4,595
Toamna,16,11,58,8,564
Iarna,12,4,16,6,200
Primavara,8,15,62,9,1827
Iarna,12,-6,10,3,245
Primavara,14,25,100,3,2349
Vara,9,30,71,2,2535
Primavara,9,22,33,9,514
Iarna,15,-2,27,7,167
Iarna,16,-8,89,8,280
Toamna,15,24,54,6,694
Toamna,11,14,81,5,894
Iarna,9,-17,7,10,173
Iarna,15,-19,22,6,197
Iarna,8,-5,75,8,309
Toamna,10,16,92,2,530
Primavara,13,23,2,10,887
Iarna,13,-4,28,8,89
Toamna,11,15,1,10,380
Toamna,12,19,90,3,651
Primavara,11,15,17,3,783
Vara,13,37,74,2,3569
Primavara,12,21,3,7,704
Toamna,16,10,64,4,503
Primavara,8,20,2,6,557
Toamna,14,16,82,5,725
Primavara,10,23,37,5,616
Toamna,13,13,55,10,608
Vara,13,25,96,5,4844
Toamna,10,14,83,8,633
Toamna,15,23,84,5,648
Toamna,9,18,3,5,182
Iarna,10,-8,28,3,232
Toamna,12,25,52,9,712
Vara,13,34,33,7,2274
Primavara,15,18,9,9,683
Toamna,13,23,86,6,764
Vara,8,32,21,8,2404
Primavara,10,20,47,2,680
Vara,9,38,94,8,3968
Iarna,9,-1,72,9,294
Vara,8,31,76,3,4873
Primavara,11,18,13,4,978
Toamna,14,16,98,9,532
Primavara,8,15,25,2,541
Vara,9,36,40,7,1671
Primavara,9,26,82,10,2192
Vara,9,36,32,3,2239
Iarna,14,-4,26,3,242
Vara,11,27,48,4,759
Iarna,13,1,87,3,335
Primavara,15,18,4,8,648
Vara,13,30,1,6,764
Iarna,8,-12,26,2,195
Primavara,14,23,38,6,726
Toamna,8,11,20,6,280
Vara,14,25,99,4,3043
Iarna,11,-14,0,5,32
Toamna,9,22,6,3,441
Toamna,14,13,53,9,876
Toamna,8,18,70,2,554
Toamna,13,12,82,2,851
Vara,12,38,90,4,3848
Toamna,12,17,63,8,614
Toamna,13,22,10,3,364
Iarna,15,-10,39,2,223
Iarna,14,5,57,5,358
Vara,13,37,53,10,4390
Iarna,15,4,37,7,97
Iarna,14,-17,2,8,89
Primavara,8,28,8,7,514
Iarna,9,-6,99,7,297
Vara,13,34,6,2,2248
Iarna,12,-11,79,4,440
Vara,12,32,82,3,2938
Toamna,8,14,90,8,981
Toamna,13,22,87,8,977
Primavara,15,18,79,7,1826
Iarna,10,2,2,6,96
Toamna,16,16,50,2,396
Primavara,8,20,79,6,1420
Iarna,10,1,25,3,225
Vara,13,40,56,10,4769
Toamna,12,22,34,3,393
Toamna,13,11,20,5,378
Primavara,10,24,46,9,663
Vara,15,27,7,9,2129
Toamna,9,18,69,7,837
Primavara,9,21,29,4,523
Toamna,12,19,7,5,182
Iarna,13,-13,57,10,333
Toamna,10,10,56,10,756
Primavara,12,23,94,2,2429
Vara,16,27,16,8,1968
Primavara,11,17,78,4,2447
Iarna,13,-8,57,6,310
Primavara,10,18,11,10,962
Primavara,15,29,85,10,1915
Iarna,8,-5,22,3,219
Iarna,9,-12,16,7,97
Iarna,15,-5,40,8,223
Vara,13,35,35,6,1915
Primavara,15,26,61,3,2287
Toamna,9,21,39,4,110
Toamna,9,11,31,9,367
Iarna,8,2,62,6,254
Primavara,13,24,91,8,2095
Primavara,12,19,46,8,947
Vara,8,34,2,5,1540
Vara,14,31,79,7,4797
Iarna,11,-1,15,9,65
Iarna,16,1,65,2,417
Iarna,16,-17,21,10,36
Primavara,11,23,27,2,958
Iarna,15,-7,55,9,415
Iarna,10,-15,55,4,275
Primavara,8,23,97,3,1109
Iarna,12,-20,50,3,205
Primavara,9,21,67,2,2466
Vara,15,35,65,3,4338
Primavara,11,21,29,2,857
Vara,14,32,73,2,4813
Iarna,16,-12,91,8,499
Primavara,14,16,45,7,757
Primavara,16,25,63,4,2251
Vara,8,35,64,4,3636
Toamna,15,25,69,9,580
Primavara,12,23,14,3,893
Toamna,15,19,48,8,243
Primavara,10,24,63,7,2256
Iarna,14,-12,0,8,219
Toamna,14,12,89,5,974
Primavara,9,16,70,7,1885
Vara,12,32,28,6,668
Primavara,10,19,94,4,1600
Vara,14,26,84,5,4157
Toamna,14,22,12,10,407
Primavara,15,16,28,9,999
Vara,10,39,46,10,896
Toamna,16,24,48,9,375
Primavara,10,21,14,10,765
Toamna,10,17,26,2,213
Vara,13,30,48,4,1377
Iarna,10,-4,9,2,83
Primavara,16,16,69,3,1682
Toamna,15,14,84,3,512
Toamna,8,19,60,6,665
Vara,16,35,21,5,1645
Toamna,11,25,54,3,922
Vara,16,40,45,8,1065
Primavara,16,26,70,10,1988
Iarna,8,-14,71,8,465
Vara,11,39,70,8,3806
Vara,14,38,82,6,4860
Primavara,11,28,58,5,1747
Toamna,11,18,31,2,220
Vara,14,38,80,4,4855
Vara,15,31,64,4,3604
Vara,16,36,79,5,3363
Toamna,16,17,90,4,982
Iarna,16,-7,87,3,449
Iarna,9,2,96,8,471
Toamna,8,16,41,5,212
Toamna,12,10,90,5,929
Toamna,14,21,96,3,798
Primavara,15,25,50,10,968
Toamna,10,23,12,7,333
Primavara,12,15,26,9,593
Toamna,8,11,90,9,844
Primavara,8,23,50,5,856
Vara,11,27,66,5,4441
Toamna,16,23,46,5,113
Primavara,14,24,9,8,651
Vara,13,36,42,4,2132
Iarna,10,-9,54,5,332
Toamna,12,13,40,8,178
Vara,12,39,75,5,4747
Toamna,12,10,48,2,305
Vara,13,32,23,2,1498
Toamna,11,22,80,7,698
Toamna,15,23,19,2,187
Primavara,11,29,41,8,582
Iarna,10,0,7,7,90
Iarna,15,4,69,6,381
Iarna,12,-14,21,6,202
Primavara,14,20,91,5,1829
Primavara,10,22,12,9,838
Iarna,16,-3,42,3,249
Toamna,16,23,44,4,315
Toamna,13,23,88,6,923
Iarna,13,-1,17,3,121
Toamna,14,25,40,6,496
Toamna,12,12,39,5,254
Primavara,14,20,26,10,652
Primavara,15,29,69,7,1443
Iarna,11,-1,5,3,76
Vara,9,34,36,10,1142
Toamna,10,22,48,8,248
Primavara,16,23,27,7,690
Iarna,8,-3,98,5,337
Primavara,8,19,91,7,1693
Vara,12,37,1,7,1032
Primavara,13,28,19,8,638
Vara,9,25,36,10,698
Vara,15,37,99,6,2791
Primavara,8,25,82,6,2026
Toamna,15,20,86,6,989
Primavara,9,17,79,3,1251
Vara,15,37,47,3,1973
Primavara,13,16,65,10,1200
Toamna,14,23,24,9,342
Iarna,10,-4,23,8,53
Toamna,8,14,65,8,644
Iarna,8,0,100,3,362
Primavara,10,23,64,4,2233
Primavara,12,28,63,10,2400
Toamna,12,11,34,7,263
Toamna,9,11,71,6,532
Toamna,9,14,42,2,247
Vara,10,33,44,8,2064
Iarna,9,-3,11,2,180
Primavara,14,19,82,8,1960
Vara,16,27,28,7,1711
Vara,11,39,63,3,3276
Vara,9,28,17,7,1979
Primavara,9,27,73,2,2062
Primavara,8,19,47,9,988
Iarna,14,0,75,5,376
Vara,14,35,68,7,4025
Vara,16,32,63,3,3515
Toamna,10,13,51,4,561
Vara,8,34,93,8,4566
Iarna,12,-16,25,4,124
Primavara,15,27,71,2,1148
Vara,11,27,29,3,619
Vara,14,37,62,4,3356
Toamna,14,24,3,7,336
Primavara,13,22,80,4,2265
Vara,9,40,61,5,4791
Toamna,12,14,56,5,977
Primavara,12,30,94,2,2005
Iarna,11,0,74,10,384
Iarna,16,-17,93,5,428
Toamna,14,19,65,6,503
Iarna,14,-3,21,7,192
Iarna,15,2,100,3,328
Vara,9,29,13,3,664
Iarna,13,-12,48,6,181
Vara,9,35,80,2,4169
Iarna,8,-9,70,6,370
Toamna,12,14,23,5,378
Vara,9,25,42,2,1888
Vara,8,39,95,7,2514
Toamna,11,17,14,5,414
Toamna,14,20,5,4,308
Iarna,11,-8,38,9,74
Iarna,9,5,24,10,242
Toamna,16,22,0,5,399
Iarna,8,-9,57,4,396
Iarna,10,-1,72,7,317
Iarna,16,4,55,8,377
Iarna,8,-13,69,9,298
Vara,9,39,96,8,2843
Toamna,9,23,87,6,771
Primavara,13,17,93,9,2007
Toamna,13,16,17,5,113
Toamna,16,20,31,9,398
Primavara,16,15,70,2,1819
Iarna,9,3,86,5,455
Primavara,9,16,96,3,2242
Vara,12,29,4,4,2459
Primavara,8,25,82,10,2433
Vara,11,39,3,5,2363
Vara,9,38,16,5,1704
Iarna,15,-16,25,7,143
Iarna,12,-2,5,7,23
Primavara,13,29,35,7,972
Primavara,12,25,45,3,558
Iarna,9,-17,42,4,220
Iarna,14,3,73,9,454
Vara,15,34,51,8,2928
Vara,11,36,63,3,2721
Vara,9,26,51,2,4386
Toamna,15,10,15,8,307
Iarna,8,-16,86,9,397
Vara,10,26,58,3,2545
Vara,12,32,85,10,2596
Primavara,9,28,85,10,1395
Toamna,12,15,50,3,149
Primavara,8,19,45,7,718
Iarna,8,-15,52,8,472
Primavara,15,28,73,9,1240
Vara,8,30,58,7,4016
Vara,13,31,4,3,2006
Iarna,16,-13,83,7,390
Iarna,12,4,82,4,484
Vara,10,40,5,4,527
Iarna,14,-9,40,7,236
Primavara,9,16,91,7,2060
Primavara,8,16,44,4,973
Primavara,9,30,63,8,2131
Toamna,12,23,29,3,224
Vara,12,40,62,2,3540
Toamna,12,10,42,8,430
Iarna,16,-11,58,3,452
Vara,15,36,65,4,4080
Primavara,12,23,96,3,1640
Primavara,9,25,62,2,1195
Primavara,13,18,7,4,969
Iarna,14,-2,68,8,442
Vara,12,39,21,3,759
Iarna,8,0,72,7,414
Primavara,13,24,59,6,2244
Iarna,14,-7,32,5,48
Iarna,13,-12,75,2,428
Iarna,11,-8,31,9,143
Vara,16,39,62,10,4108
Toamna,10,24,43,8,213
Primavara,10,26,57,10,1744
Iarna,13,-6,6,5,171
Vara,9,25,25,6,966
Primavara,12,15,48,10,956
Primavara,13,24,9,6,986
Toamna,9,23,26,7,360
Iarna,14,3,59,9,350
Toamna,9,12,70,2,988
Iarna,15,-4,48,3,24
Primavara,10,22,10,7,896
Iarna,11,-20,44,7,132
Vara,15,32,98,9,3676
Vara,15,25,75,3,4868
Toamna,11,20,19,4,179
Toamna,14,15,56,9,510
Vara,16,29,35,7,1295
Vara,10,37,3,4,1304
Iarna,11,-18,61,5,454
Primavara,15,15,97,5,1227
Iarna,8,-2,62,7,327
Vara,14,35,21,10,525
Toamna,10,21,38,9,291
Primavara,10,26,68,3,1304
Primavara,9,20,26,8,991
Primavara,8,24,77,7,1142
Vara,13,39,35,3,691
Toamna,8,24,77,4,793
Iarna,15,5,48,3,117
Toamna,9,12,66,7,640
Iarna,8,-17,18,10,222
Vara,8,37,47,6,1486
Toamna,10,23,76,6,922
Vara,14,38,30,6,2093
Primavara,14,24,9,5,884
Toamna,16,16,78,2,679
Iarna,15,-12,32,6,158
Toamna,16,14,67,4,800
Primavara,12,19,99,6,1614
Iarna,11,-17,82,10,497
Iarna,13,-5,8,7,110
Vara,16,37,13,3,1577
Toamna,10,24,44,6,164
Iarna,16,4,82,10,291
Vara,12,36,36,6,1046
Toamna,16,16,77,8,753
Iarna,13,-18,9,5,92
Vara,13,35,49,6,1688
Iarna,16,-12,90,7,260
Vara,10,26,95,7,3054
Toamna,14,25,66,10,785
Toamna,13,13,63,9,626
Primavara,10,19,88,2,1415
Vara,16,33,20,5,624
Iarna,10,-12,8,7,55
Vara,12,26,48,8,1976
Iarna,16,-19,59,5,427
Iarna,14,-3,97,7,357
Primavara,13,16,70,5,1190
Toamna,8,12,72,4,532
Iarna,13,-7,2,10,203
Vara,13,26,12,7,1894
Iarna,13,-9,81,8,277
Vara,16,25,35,10,1013
Vara,13,37,20,6,1980
Vara,14,25,79,6,2855
Toamna,14,22,37,4,100
Toamna,12,23,33,5,499
Iarna,11,5,71,7,312
Primavara,14,29,29,9,613
Primavara,13,23,22,2,720
Toamna,13,21,85,9,706
Vara,10,30,82,5,4487
Primavara,9,15,73,6,2090
Primavara,9,15,50,5,524
Vara,9,30,17,6,1299
Toamna,11,12,45,10,331
Toamna,15,20,1,6,305
Toamna,15,15,58,8,995
Toamna,9,16,87,5,894
Iarna,9,5,81,3,467
Iarna,9,-9,60,8,335
Primavara,10,21,96,7,1279
Vara,11,25,20,6,893
Primavara,11,25,96,2,2104
Toamna,9,14,95,4,650
Toamna,11,15,34,5,404
Primavara,15,19,96,6,2485
Primavara,14,25,92,2,2001
Toamna,10,20,69,7,721
Primavara,13,25,52,9,1644
Vara,15,25,31,7,1793
Vara,14,25,15,2,1765
Primavara,9,26,11,6,542
Iarna,14,5,23,3,53
Vara,16,37,72,5,2927
Toamna,11,24,65,5,641
Toamna,16,18,37,10,382
Toamna,8,22,92,2,607
Toamna,15,18,53,7,882
Primavara,11,23,85,2,2345
Primavara,10,18,72,5,1321
Vara,14,28,23,2,2039
Iarna,16,-5,97,6,353
Primavara,8,18,18,8,731
Iarna,9,-8,26,5,178
Primavara,10,25,98,7,1583
Vara,15,32,65,7,3541
Toamna,8,16,47,7,308
Primavara,12,25,42,3,523
Toamna,11,10,4,3,454
Vara,9,36,33,5,2462
Iarna,10,-18,43,7,79
Primavara,14,23,88,5,1379
Primavara,16,18,89,5,2497
Primavara,16,22,73,3,2437
Vara,10,37,92,6,4445
Primavara,13,15,72,4,2484
Iarna,8,-6,2,10,127
Vara,15,26,20,6,1517
Primavara,12,22,28,9,886
Primavara,12,20,29,6,612
Toamna,13,16,56,4,623
Vara,9,34,12,10,1287
Toamna,16,17,69,3,829
Iarna,11,-2,51,2,269
Toamna,12,25,8,7,472
Primavara,15,30,86,9,1475
Iarna,13,3,54,9,252
Vara,12,25,83,2,3772
Vara,13,38,90,7,2657
Primavara,12,20,61,4,1337
Vara,8,36,52,3,4687
Iarna,8,-6,10,2,223
Vara,10,39,82,3,4104
Vara,15,37,82,2,3461
Vara,10,25,63,10,3201
Iarna,8,-13,12,4,58
Vara,13,40,25,5,1103
Iarna,11,-18,95,8,456
Primavara,10,19,39,8,682
Toamna,13,23,61,10,925
Iarna,14,-1,91,9,253
Primavara,15,17,12,9,670
Iarna,9,-11,16,9,188
Vara,9,34,81,7,4318
Iarna,13,-15,83,4,328
Vara,15,35,36,6,855
Vara,8,39,55,5,4999
Toamna,13,24,17,9,334
Primavara,8,21,66,8,1634
Iarna,16,-1,80,7,434
Iarna,9,-9,18,7,99
Primavara,9,27,64,3,2457
Vara,14,28,70,7,4539
Vara,11,26,66,5,3146
Iarna,16,-6,89,8,309
Vara,10,32,22,6,2295
Iarna,15,5,48,7,107
Vara,8,29,59,9,4775
Iarna,15,-5,16,6,217
Vara,13,33,63,5,4832
Iarna,12,-12,27,9,17
Primavara,10,23,96,6,1611
Toamna,11,10,30,8,489
Primavara,15,20,81,4,1136
Vara,10,26,16,5,2403
Toamna,15,24,95,8,737
Iarna,13,-14,26,6,128
Iarna,10,-19,62,7,473
Toamna,14,11,16,7,327
Vara,10,39,21,6,1326
Toamna,13,16,28,8,378
Toamna,15,13,46,10,378
Toamna,10,15,23,3,263
Iarna,16,-3,14,4,26
Iarna,12,-7,32,2,113
Vara,8,28,52,7,4618
Iarna,11,2,28,3,115
Toamna,8,21,16,6,235
Primavara,10,28,90,6,2217
Toamna,10,12,65,5,863
Iarna,14,-15,87,5,485
Iarna,9,-14,30,3,239
Vara,15,34,87,2,4492
Iarna,9,-18,88,4,340
Vara,9,31,86,6,3976
Iarna,11,0,29,5,209
Vara,11,34,14,2,1633
Iarna,11,-9,90,3,444
Toamna,14,19,54,10,884
Primavara,12,20,87,10,1893
Primavara,11,27,36,6,653
Toamna,12,19,80,2,529
Vara,11,36,39,8,576
Toamna,8,23,10,10,402
Vara,15,38,30,7,1644
Primavara,8,30,84,4,1150
Vara,10,40,25,2,1957
Toamna,14,24,78,9,502
Iarna,11,-13,78,5,423
Toamna,15,18,54,6,710
Vara,14,38,61,6,2650
Toamna,10,18,68,2,888
Vara,10,28,5,10,834
Toamna,11,18,36,4,410
Toamna,10,17,40,10,172
Iarna,12,-9,94,8,380
Vara,15,40,82,5,4375
Iarna,8,-4,65,2,461
Vara,15,35,31,3,1192
Vara,12,38,39,7,929
Iarna,9,-7,78,5,341
Iarna,16,-8,1,6,233
Iarna,14,-3,84,6,361
Iarna,16,-18,28,2,154
Vara,16,38,5,8,1129
Toamna,16,25,51,5,680
Primavara,11,19,55,4,1942
Iarna,16,-19,0,3,227
Vara,13,38,40,6,1329
Vara,10,35,74,6,4686
Iarna,16,-11,41,5,163
Toamna,13,14,85,7,659
Primavara,13,23,62,5,2258
Iarna,16,-14,1,5,111
Primavara,12,19,39,9,953
Toamna,16,10,51,8,600
Toamna,10,20,44,10,423
Toamna,9,25,1,5,385
Toamna,13,12,39,10,182
Iarna,9,-7,12,3,200
Primavara,10,15,12,4,566
Toamna,13,22,84,10,851
Vara,15,35,14,3,2167
Iarna,14,-13,61,7,445
Primavara,12,16,12,3,669
Toamna,14,13,18,9,332
Vara,9,40,80,6,3410
Vara,14,29,55,5,2889
Iarna,8,4,8,4,34
Primavara,11,19,18,7,637
Toamna,14,12,71,9,614
Iarna,13,-10,27,9,30
Iarna,13,-8,57,4,337
Toamna,15,14,32,7,381
Toamna,15,14,31,3,226
Toamna,15,23,7,10,133
Vara,16,38,46,4,948
Vara,8,31,28,3,2218
Vara,8,28,68,8,3684
Toamna,14,22,91,8,618
Primavara,12,21,71,7,1593
Vara,13,30,97,4,4412
Iarna,8,-4,34,4,92
Iarna,14,5,36,8,75
Iarna,14,-18,79,8,361
Primavara,16,22,10,3,883
Vara,16,30,76,4,2507
Primavara,16,16,15,9,520
Vara,13,26,91,8,4617
Toamna,14,22,82,2,663
Primavara,12,16,42,5,677
Primavara,16,30,65,3,1263
Primavara,8,16,96,7,1433
Iarna,8,-17,73,10,420
Iarna,16,3,5,4,196
Vara,10,37,57,9,2500
Iarna,8,-4,39,10,166
Iarna,10,-7,80,8,333
Iarna,11,-13,62,3,415
Toamna,8,15,40,3,286
Primavara,12,26,67,3,2357
Primavara,16,21,62,9,1642
Iarna,10,-8,59,4,439
Toamna,12,25,82,6,734
Iarna,12,0,91,8,463
Vara,9,40,67,3,4744
Iarna,11,2,83,9,493
Primavara,16,23,97,9,1715
Vara,15,30,21,8,816
Vara,13,26,38,8,2377
Vara,9,33,71,2,4494
Iarna,12,0,26,6,205
Primavara,11,18,37,9,881
Iarna,11,0,62,8,329
Iarna,14,1,84,9,437
Vara,15,32,65,6,4185
Toamna,9,20,31,10,445
Toamna,10,19,61,10,550
Iarna,16,5,6,8,143
Toamna,13,15,1,9,479
Vara,12,39,100,6,3284
Toamna,13,13,26,7,405
Iarna,11,-14,19,4,205
Iarna,12,-3,33,10,68
Toamna,11,24,31,8,200
Toamna,9,11,96,5,668
Iarna,15,-8,21,7,74
Iarna,9,-3,29,9,247
Primavara,9,16,80,8,1078
Iarna,9,0,61,10,340
Primavara,16,30,79,2,1071
Iarna,13,-1,81,4,473
Iarna,11,-20,77,7,464
Iarna,10,-12,65,3,429
Vara,10,30,97,7,3912
Toamna,9,18,52,6,691
Primavara,14,20,22,4,658
Iarna,9,-3,34,4,82
Iarna,8,4,66,4,449
Vara,16,34,53,6,3950
Primavara,8,23,44,10,935
Primavara,14,20,47,8,520
Iarna,11,-12,13,2,137
Toamna,16,10,49,9,151
Iarna,10,-19,84,6,497
Primavara,16,23,33,3,727
Iarna,12,-16,93,9,273
Primavara,13,30,72,2,1977
Iarna,11,5,0,5,249
Toamna,8,25,45,5,185
Iarna,9,2,70,7,325
Primavara,10,25,56,6,1145
Iarna,10,-11,22,3,121
Iarna,16,-15,37,7,127
Vara,12,30,44,5,1730
Vara,16,37,8,8,1054
Vara,16,35,100,9,3062
Iarna,9,5,76,5,310
Toamna,15,25,58,3,965
Toamna,13,10,32,7,268
Vara,11,33,80,4,3896
Iarna,13,-13,10,7,14
Toamna,12,15,64,10,936
Toamna,12,16,22,10,170
Vara,12,26,43,4,1909
Toamna,9,13,0,9,132
Vara,13,28,28,4,506
Iarna,16,-2,52,3,487
Primavara,12,18,86,9,2129
Iarna,14,-17,48,3,241
Primavara,13,20,39,6,708
Primavara,8,19,47,6,610
Iarna,13,-15,33,3,44
Vara,10,40,1,8,2093
Iarna,16,-9,29,3,230
Primavara,16,23,16,6,812
Primavara,16,27,1,9,861
Vara,11,34,67,2,3828
Iarna,8,-5,83,10,262
Primavara,11,16,41,4,945
Vara,12,28,36,3,1005
Toamna,14,12,96,5,573
Toamna,13,18,42,3,340
Iarna,12,-1,86,8,265
Vara,14,28,35,9,2050
Toamna,10,11,38,8,397
Toamna,11,22,10,8,180
Primavara,15,19,12,6,774
Primavara,8,19,14,5,974
Vara,16,40,100,6,2753
Iarna,14,-2,89,4,303
Vara,8,35,12,5,569
Toamna,15,10,31,4,146
Vara,9,34,76,5,4694
Toamna,15,21,75,7,996
Toamna,10,18,46,10,180
Iarna,16,4,96,6,254
Toamna,16,22,4,7,162
Vara,12,39,50,5,763
Toamna,14,18,96,4,960
Primavara,14,29,26,6,634
Vara,8,39,61,9,4303
